timestamp,issue_type,severity,intersection_id,request_id,sequence_number,station_id,in_lane,out_lane,status,delay_seconds,message,source_summary,source_roles,source_files,merge_group_id,merge_confidence
2026-04-21T07:08:18.730018+00:00,TIMEOUT,error,69,87,84,42:ee:24:d3:9c:b7,1,3,timeout,1.061,SREM ohne rechtzeitige SSEM-Antwort (1.06s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:17.652313+00:00,TIMEOUT,error,71,90,24,42:ee:24:32:94:35,8,7,timeout,1.155,SREM ohne rechtzeitige SSEM-Antwort (1.15s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:18.700956+00:00,TIMEOUT,error,71,90,25,42:ee:24:32:94:35,8,7,timeout,1.049,SREM ohne rechtzeitige SSEM-Antwort (1.05s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:19.756238+00:00,LATE_GRANTED,warning,71,90,25,42:ee:24:32:94:35,8,7,granted,2.104,SSEM granted kam verspaetet (2.10s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap | merge-00722","RXA, TXA","rxa 1.pcap, txa 3.pcap",merge-00722,0.870
2026-04-21T07:09:20.257509+00:00,TIMEOUT,error,71,90,26,42:ee:24:32:94:35,8,7,timeout,1.253,SREM ohne rechtzeitige SSEM-Antwort (1.25s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:20.765182+00:00,LATE_GRANTED,warning,71,90,26,42:ee:24:32:94:35,8,7,granted,1.761,SSEM granted kam verspaetet (1.76s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap","RXA, TXA","rxa 1.pcap, txa 3.pcap",,
2026-04-21T07:09:22.756380+00:00,LATE_GRANTED,warning,71,90,29,42:ee:24:32:94:35,8,7,granted,1.177,SSEM granted kam verspaetet (1.18s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap | merge-00728","RXA, TXA","rxa 1.pcap, txa 3.pcap",merge-00728,0.870
2026-04-21T07:09:24.257338+00:00,TIMEOUT,error,71,90,31,42:ee:24:32:94:35,8,7,timeout,1.215,SREM ohne rechtzeitige SSEM-Antwort (1.22s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:25.754709+00:00,TIMEOUT,error,71,90,32,42:ee:24:32:94:35,8,7,timeout,1.361,SREM ohne rechtzeitige SSEM-Antwort (1.36s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:25.754709+00:00,TIMEOUT,error,71,90,33,42:ee:24:32:94:35,8,7,timeout,1.260,SREM ohne rechtzeitige SSEM-Antwort (1.26s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:25.772204+00:00,LATE_GRANTED,warning,71,90,31,42:ee:24:32:94:35,8,7,granted,2.730,SSEM granted kam verspaetet (2.73s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap","RXA, TXA","rxa 1.pcap, txa 3.pcap",,
2026-04-21T07:09:26.819921+00:00,LATE_GRANTED,warning,71,90,32,42:ee:24:32:94:35,8,7,granted,2.426,SSEM granted kam verspaetet (2.43s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap | merge-00735","RXA, TXA","rxa 1.pcap, txa 3.pcap",merge-00735,0.870
2026-04-21T07:09:27.670457+00:00,TIMEOUT,error,71,90,35,42:ee:24:32:94:35,8,7,timeout,1.348,SREM ohne rechtzeitige SSEM-Antwort (1.35s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:27.670457+00:00,TIMEOUT,error,71,90,36,42:ee:24:32:94:35,8,7,timeout,1.211,SREM ohne rechtzeitige SSEM-Antwort (1.21s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:27.735134+00:00,LATE_GRANTED,warning,71,90,33,42:ee:24:32:94:35,8,7,granted,3.240,SSEM granted kam verspaetet (3.24s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap","RXA, TXA","rxa 1.pcap, txa 3.pcap",,
2026-04-21T07:09:29.740826+00:00,LATE_GRANTED,warning,71,90,36,42:ee:24:32:94:35,8,7,granted,2.032,SSEM granted kam verspaetet (2.03s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap","RXA, TXA","rxa 1.pcap, txa 3.pcap",,
2026-04-21T07:09:30.239580+00:00,TIMEOUT,error,71,90,37,42:ee:24:32:94:35,8,7,timeout,1.179,SREM ohne rechtzeitige SSEM-Antwort (1.18s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:30.737256+00:00,LATE_GRANTED,warning,71,90,37,42:ee:24:32:94:35,8,7,granted,1.677,SSEM granted kam verspaetet (1.68s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap","RXA, TXA","rxa 1.pcap, txa 3.pcap",,
2026-04-21T07:09:32.739048+00:00,TIMEOUT,error,71,90,39,42:ee:24:32:94:35,8,7,timeout,1.202,SREM ohne rechtzeitige SSEM-Antwort (1.20s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:09:33.728278+00:00,LATE_GRANTED,warning,71,90,39,42:ee:24:32:94:35,8,7,granted,2.191,SSEM granted kam verspaetet (2.19s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap | merge-00743","RXA, TXA","rxa 1.pcap, txa 3.pcap",merge-00743,0.870
